"data";"valor"
"01/01/1993";"2208"
"01/02/1993";"1904"
"01/03/1993";"3674"
"01/04/1993";"3479"
"01/05/1993";"3765"
"01/06/1993";"3874"
"01/07/1993";"3764"
"01/08/1993";"4529"
"01/09/1993";"4940"
"01/10/1993";"4800"
"01/11/1993";"4799"
"01/12/1993";"3646"
"01/01/1994";"3285"
"01/02/1994";"3350"
"01/03/1994";"4674"
"01/04/1994";"3586"
"01/05/1994";"5701"
"01/06/1994";"5383"
"01/07/1994";"5742"
"01/08/1994";"6047"
"01/09/1994";"4696"
"01/10/1994";"6011"
"01/11/1994";"6272"
"01/12/1994";"5272"
"01/01/1995";"5166"
"01/02/1995";"5853"
"01/03/1995";"7117"
"01/04/1995";"6410"
"01/05/1995";"6722"
"01/06/1995";"8034"
"01/07/1995";"7104"
"01/08/1995";"6566"
"01/09/1995";"3892"
"01/10/1995";"5901"
"01/11/1995";"5215"
"01/12/1995";"2093"
"01/01/1996";"3552"
"01/02/1996";"4434"
"01/03/1996";"4355"
"01/04/1996";"4991"
"01/05/1996";"3835"
"01/06/1996";"3480"
"01/07/1996";"3568"
"01/08/1996";"4099"
"01/09/1996";"3389"
"01/10/1996";"4978"
"01/11/1996";"4014"
"01/12/1996";"3327"
"01/01/1997";"3552"
"01/02/1997";"3940"
"01/03/1997";"4283"
"01/04/1997";"4779"
"01/05/1997";"4741"
"01/06/1997";"5382"
"01/07/1997";"6198"
"01/08/1997";"5810"
"01/09/1997";"6819"
"01/10/1997";"7629"
"01/11/1997";"6524"
"01/12/1997";"3757"
"01/01/1998";"4658"
"01/02/1998";"4480"
"01/03/1998";"5406"
"01/04/1998";"5920"
"01/05/1998";"6671"
"01/06/1998";"6370"
"01/07/1998";"6550"
"01/08/1998";"5906"
"01/09/1998";"5974"
"01/10/1998";"5193"
"01/11/1998";"4281"
"01/12/1998";"1855"
"01/01/1999";"4463"
"01/02/1999";"4234"
"01/03/1999";"4862"
"01/04/1999";"4165"
"01/05/1999";"4752"
"01/06/1999";"5107"
"01/07/1999";"4437"
"01/08/1999";"4735"
"01/09/1999";"4658"
"01/10/1999";"4689"
"01/11/1999";"5485"
"01/12/1999";"3607"
"01/01/2000";"3413"
"01/02/2000";"5078"
"01/03/2000";"5635"
"01/04/2000";"5612"
"01/05/2000";"6784"
"01/06/2000";"6339"
"01/07/2000";"6462"
"01/08/2000";"7657"
"01/09/2000";"7081"
"01/10/2000";"7054"
"01/11/2000";"5654"
"01/12/2000";"4345"
"01/01/2001";"5544"
"01/02/2001";"5921"
"01/03/2001";"7941"
"01/04/2001";"6575"
"01/05/2001";"8059"
"01/06/2001";"7155"
"01/07/2001";"6903"
"01/08/2001";"7123"
"01/09/2001";"5975"
"01/10/2001";"6469"
"01/11/2001";"5820"
"01/12/2001";"3766"
"01/01/2002";"4826"
"01/02/2002";"5345"
"01/03/2002";"6350"
"01/04/2002";"6792"
"01/05/2002";"6443"
"01/06/2002";"5536"
"01/07/2002";"5938"
"01/08/2002";"5581"
"01/09/2002";"5353"
"01/10/2002";"5856"
"01/11/2002";"6262"
"01/12/2002";"4072"
"01/01/2003";"6266"
"01/02/2003";"6838"
"01/03/2003";"6763"
"01/04/2003";"6111"
"01/05/2003";"6320"
"01/06/2003";"5874"
"01/07/2003";"6228"
"01/08/2003";"6531"
"01/09/2003";"6518"
"01/10/2003";"6932"
"01/11/2003";"7916"
"01/12/2003";"5488"
"01/01/2004";"6245"
"01/02/2004";"7181"
"01/03/2004";"9212"
"01/04/2004";"8611"
"01/05/2004";"9116"
"01/06/2004";"8928"
"01/07/2004";"9351"
"01/08/2004";"9686"
"01/09/2004";"9698"
"01/10/2004";"9110"
"01/11/2004";"9557"
